FINAL,1996,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.7,YES,YES,7556904,6860762,8253046
FINAL,1997,Calendar Year (Jan 1 - Dec 31),ANNUAL,5,YES,YES,7815725,7049784,8581666
FINAL,1998,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.9,YES,YES,7965987,7200933,8731040
FINAL,1999,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.4,YES,YES,8375268,7652985,9097551
FINAL,2000,Calendar Year (Jan 1 - Dec 31),ANNUAL,4,YES,YES,9577428,8826558,10328298
FINAL,2001,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.5,YES,YES,9740977,8881823,10600132
FINAL,2002,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.6,YES,YES,9066632,8249184,9884080
FINAL,2003,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.4,YES,YES,9471168,8654374,10287962
FINAL,2004,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.6,YES,YES,8842385,8045156,9639615
FINAL,2005,Calendar Year (Jan 1 - Dec 31),ANNUAL,6.2,YES,YES,8311929,7301864,9321995
FINAL,2006,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.8,YES,YES,7709425,6984122,8434728
FINAL,2007,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.3,YES,YES,8636227,7908366,9364088
FINAL,2008,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.1,YES,YES,9520187,8755144,10285229
FINAL,2009,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.1,YES,YES,10177059,9359231,10994888
FINAL,2010,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.4,YES,YES,11122003,10162842,12081165
FINAL,2011,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.7,YES,YES,11182662,10152515,12212809
FINAL,2012,Calendar Year (Jan 1 - Dec 31),ANNUAL,4.8,YES,YES,10610591,9612347,11608836
FINAL,2013,Calendar Year (Jan 1 - Dec 31),ANNUAL,3.8,YES,YES,10543866,9758559,11329173
FINAL,2014,Calendar Year (Jan 1 - Dec 31),ANNUAL,.,,,.,.,.
FINAL,2015,Calendar Year (Jan 1 - Dec 31),ANNUAL,.,,,.,.,.
FINAL,2016,Calendar Year (Jan 1 - Dec 31),ANNUAL,.,,,.,.,.
FINAL,2017,Calendar Year (Jan 1 - Dec 31),ANNUAL,.,,,.,.,.
FINAL,2018,Calendar Year (Jan 1 - Dec 31),ANNUAL,.,,,.,.,.
FINAL,2019,Calendar Year (Jan 1 - Dec 31),ANNUAL,.,,,.,.,.
FINAL,2020,Calendar Year (Jan 1 - Dec 31),ANNUAL,.,,,.,.,.
FINAL,2021,Calendar Year (Jan 1 - Dec 31),ANNUAL,.,,,.,.,.
FINAL,2022,Calendar Year (Jan 1 - Dec 31),ANNUAL,.,,,.,.,.
PRELIMINARY,2023,Calendar Year (Jan 1 - Dec 31),WAVE 2,.,,,.,.,.
